Policy_id,Source_des,Title,Description,Keywords,Note,Year_from,Year_to,Goals,Subgoals,Ultimate_beneficiaries,Instruments,Primary_targets,Countries,Geoscopes,Formulators,links,publications,search_text,nutrition_relevant
582,Other,Directive 80/891/EEC,Directive 80/891/EEC relates to the Community method of analysis for determining the erucic acid content in oils and fats intended to be used as such for human consumption and foodstuffs containing added oils or fats. It refers to referred to Article 1 of Directive 76/621/EEC.,food safety; health; oil; fat; erucic acid; foodstuff; edible; information; awareness; method,,1980.0,2015.0,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Regulation and self-regulation,Consumers |  Food industry |,EU,Supra-national,EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31980L0891,,directive 80/891/eec directive 80/891/eec relates to the community method of analysis for determining the erucic acid content in oils and fats intended to be used as such for human consumption and foodstuffs containing added oils or fats. it refers to referred to article 1 of directive 76/621/eec. food safety; health; oil; fat; erucic acid; foodstuff; edible; information; awareness; method food safety reduced economic and social burden of food-borne diseases,True
598,Other,Directive 89/398/EEC,"Directive 89/398/EEC is about the approximation of the laws of Member States relating to foodstuffs intended for particular nutritional uses such as infants, people who have digestive or metabolic disorders or a particular physiological condition. These products have specific labelling requirements, for example declaration of the energy value and the carbohydrate, protein and fat content.",food safety; health; labelling; nutrition; children; infant; disorder; foodstuff; energy; carbohydrate; protein; fat,,1990.0,2009.0,Food safety,Reduced economic and social burden of food-borne diseases,Consumers |  Society at large |,Labelling measure,Consumers |  Food industry |,EU,Supra-national,EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31989L0398,,"directive 89/398/eec directive 89/398/eec is about the approximation of the laws of member states relating to foodstuffs intended for particular nutritional uses such as infants, people who have digestive or metabolic disorders or a particular physiological condition. these products have specific labelling requirements, for example declaration of the energy value and the carbohydrate, protein and fat content. food safety; health; labelling; nutrition; children; infant; disorder; foodstuff; energy; carbohydrate; protein; fat food safety reduced economic and social burden of food-borne diseases",True
595,Other,Directive 90/496/EEC,"Directive 90/496/EEC is on nutrition labelling rules of foodstuffs. This Directive concerns nutrition labelling of foodstuffs for the final consumer and for mass caterers (restaurants, hospitals, canteens, etc.).",food safety; health; nutrition; labelling; foodstuff; canteen; catering; restaurant; consumer,,1990.0,2014.0,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Labelling measure,Food industry,EU,Supra-national,EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31990L0496,,"directive 90/496/eec directive 90/496/eec is on nutrition labelling rules of foodstuffs. this directive concerns nutrition labelling of foodstuffs for the final consumer and for mass caterers (restaurants, hospitals, canteens, etc.). food safety; health; nutrition; labelling; foodstuff; canteen; catering; restaurant; consumer food safety reduced economic and social burden of food-borne diseases",True
638,Other,Directive 91/321/EEC,Directive 91/321/EEC on infant formulae and follow-on formulae.,food safety; health; composition; foodstuff; infant formula; nutrition; children,,1991.0,2007.0,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Regulation and self-regulation,Consumers |  Food industry |,EU,Supra-national,EC,https://eur-lex.europa.eu/legal-content/en/ALL/?uri=CELEX%3A31991L0321,,directive 91/321/eec directive 91/321/eec on infant formulae and follow-on formulae. food safety; health; composition; foodstuff; infant formula; nutrition; children food safety reduced economic and social burden of food-borne diseases,True
623,Other,Directive 91/630/EEC,Directive 91/630/EEC lays down minimum standards fo the protection of pigs confined for rearing or fattening.,food safety; health; prevention; protection; environment; pig; fat; rearing,,1991.0,2009.0,Reduced environmental impact,Animal welfare,Society at large,Regulation and self-regulation,Farmers,EU,Supra-national,EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31991L0630,,directive 91/630/eec directive 91/630/eec lays down minimum standards fo the protection of pigs confined for rearing or fattening. food safety; health; prevention; protection; environment; pig; fat; rearing reduced environmental impact animal welfare,True
587,Other,Directive 96/8/EC,Directive 96/8/EC lays down compositional and labelling requirements for foods for particular nutritional uses which are intended for use in energy-restricted diets for weight reduction and are presented as such.,diet; overweight; health; composition; labelling; foodstuff; energy; prevention,,1997.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers |  Society at large |,Labelling measure,Food industry,EU,Supra-national,EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31996L0008,,directive 96/8/ec directive 96/8/ec lays down compositional and labelling requirements for foods for particular nutritional uses which are intended for use in energy-restricted diets for weight reduction and are presented as such. diet; overweight; health; composition; labelling; foodstuff; energy; prevention balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
36,Nourishing,Eat and learn together - a school lunch recommendation,"The school meal recommendation contains nutritional recommendation for  school meals. The focus is on strengthening pupils' inclusion, providing lunches and snacks promoting health and sustainable development, taking into account the entire dining environment.",guidelines; food provision; procurement; canteen; catering; food services; infant; children; diet; health; menu; education; knowledge;,,2017.0,2017.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,School food services,Finland,National,"Finnish Ministry of Social Affairs and Health, national nutrition council",http://www.julkari.fi/handle/10024/131834,,"eat and learn together - a school lunch recommendation the school meal recommendation contains nutritional recommendation for  school meals. the focus is on strengthening pupils' inclusion, providing lunches and snacks promoting health and sustainable development, taking into account the entire dining environment. guidelines; food provision; procurement; canteen; catering; food services; infant; children; diet; health; menu; education; knowledge; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
25,Nourishing,Eat move (Manger Bouger)- National Health Nutrition Program,Public health plan aimed at improving the health status of the population by acting on one of its major determinants: nutrition.,fruit; vegetables; sport; legumes; guidelines; health; drink; soda; sugar; salt; fat; processed; meat; consumption;,,2001.0,2001.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Media,France,National,"French ministry of solidarity and health, Santé publique France- French national public health agency",http://www.mangerbouger.fr/ |  http://www.mangerbouger.fr/Manger-Mieux | ,,eat move (manger bouger)- national health nutrition program public health plan aimed at improving the health status of the population by acting on one of its major determinants: nutrition. fruit; vegetables; sport; legumes; guidelines; health; drink; soda; sugar; salt; fat; processed; meat; consumption; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
250,SCAR,EcoAntibio,The aim of the Plan is to reduce the risks of antibiotic resistance in veterinary medicine and to safeguard the efficacy of the antibiotics,animal; pharmaceuticals; infection; health; prevention; livestock;,,2012.0,2017.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Farmers,France,National,French Ministry of Agriculture and Food,http://agriculture.gouv.fr/plan-ecoantibio-2012-2017-lutte-contre-lantibioresistance,,ecoantibio the aim of the plan is to reduce the risks of antibiotic resistance in veterinary medicine and to safeguard the efficacy of the antibiotics animal; pharmaceuticals; infection; health; prevention; livestock; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
62,Nourishing,Education act,"The Swedish School Law stipulates that school lunches must be nutritious, thus equal a third of the recommended daily intake of energy and nutrients.",canteen; school meal; catering; food services; procurement; diet; health; transport; purchase; recommendation;,,2011.0,2011.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,School food services,Sweden,National,"Swedish Ministry of Education and Research, National Food Agency",https://www.livsmedelsverket.se/en/food-habits-health-and-environment/maltider-i-vard-skola-och-omsorg/skola,,"education act the swedish school law stipulates that school lunches must be nutritious, thus equal a third of the recommended daily intake of energy and nutrients. canteen; school meal; catering; food services; procurement; diet; health; transport; purchase; recommendation; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
56,Nourishing,"Education on nutrition, health and food preparation in schools","Curriculum or classes on healthy diet, nutrition, food preparation",knowledge; lifestyle; information;,,2014.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Education measure,Education sector,Finland,National,Finnish Government,https://www.julkari.fi/bitstream/handle/10024/134867/URN_ISBN_978-952-302-844-9.pdf?sequence=1&isAllowed=y |  https://www.oph.fi/en/education-and-qualifications/school-meals-finland | ,,"education on nutrition, health and food preparation in schools curriculum or classes on healthy diet, nutrition, food preparation knowledge; lifestyle; information; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
57,Nourishing,"Education on nutrition, health and food preparation in schools","Curriculum or classes on healthy diet, nutrition, food preparation",knowledge; lifestyle; information;,,2012.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Education measure,Education sector,Slovenia,National,Slovenian government,https://www.uradni-list.si/glasilo-uradni-list-rs/vsebina/111596,,"education on nutrition, health and food preparation in schools curriculum or classes on healthy diet, nutrition, food preparation knowledge; lifestyle; information; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
58,Nourishing,"Education on nutrition, health and food preparation in schools","Curriculum or classes on healthy diet, nutrition, food preparation",obesity; overweight; policy; lifestyle; information; platform; infant; children; canteen;,,,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Education measure,Education sector,Germany,National,"German Federal ministry of food and agriculture, Ministry of health",https://www.fao.org/nutrition/education/food-dietary-guidelines/regions/germany/en/,,"education on nutrition, health and food preparation in schools curriculum or classes on healthy diet, nutrition, food preparation obesity; overweight; policy; lifestyle; information; platform; infant; children; canteen; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
59,Nourishing,"Education on nutrition, health and food preparation in schools","Curriculum or classes on healthy diet, nutrition, food preparation",education; obesity; children; knowledge; advice; diet;,,,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Education measure,Education sector,UK,National,UK Department of education,https://www.in-form.de/,,"education on nutrition, health and food preparation in schools curriculum or classes on healthy diet, nutrition, food preparation education; obesity; children; knowledge; advice; diet; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
471,Nourishing,Educational and Participation Act,"Free School Meals - Germany. In Germany, lunch is provided only in all-day schools and is mostly subsidised. This can be reimbursed, as part of the education and participation benefits (if they apply for these benefits) if low-income households with children with basic income support for jobseekers, social assistance, asylum seekers benefits or supplementary child benefit or housing benefit (under the Child Benefit Act). The cost of school lunches covered as part of the education and participation benefits (EAPB). Households have access to the EAPB if they are on minimum-income benefits (basic income support for jobseekers or social assistance or the Asylum Seekers Benefits Act), on supplementary child benefit or on housing benefit.",food aid; food assistance; social inclusion; school meal; income; support; children,,2022.0,2023.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Income support,School food services,Germany,National,German Federal Ministry of Labour and Social Affairs,https://handbookgermany.de/en/educational-package,,"educational and participation act free school meals - germany. in germany, lunch is provided only in all-day schools and is mostly subsidised. this can be reimbursed, as part of the education and participation benefits (if they apply for these benefits) if low-income households with children with basic income support for jobseekers, social assistance, asylum seekers benefits or supplementary child benefit or housing benefit (under the child benefit act). the cost of school lunches covered as part of the education and participation benefits (eapb). households have access to the eapb if they are on minimum-income benefits (basic income support for jobseekers or social assistance or the asylum seekers benefits act), on supplementary child benefit or on housing benefit. food aid; food assistance; social inclusion; school meal; income; support; children balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
136,SCAR,EKO label,"Not only a certified organic product, but relates to ecology, health, fairness and care. EKO quality mark 2017 for sustainable organic products.",production; market; farmer; transparency; climate; renewable; packaging; ecology; health; fairness; sustainability; farming; meat; dairy; vegetable;,,2017.0,2017.0,Reduced environmental impact,Climate,Consumers,Labelling measure,Food industry,Netherlands,National,EKO quality mark,https://eko-keurmerk.nl/,,"eko label not only a certified organic product, but relates to ecology, health, fairness and care. eko quality mark 2017 for sustainable organic products. production; market; farmer; transparency; climate; renewable; packaging; ecology; health; fairness; sustainability; farming; meat; dairy; vegetable; reduced environmental impact climate",True
16,Nourishing,Eu pledge,voluntary initiative by leading food and beverage companies to change the way they advertise to children,industry; commercial communication; parents; diet; lifestyle; advertisement; drink; soda; media;,,2007.0,2007.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Food industry,EU,Supra-national,Association of industries - World Federation of Advertisers,http://www.eu-pledge.eu/,,eu pledge voluntary initiative by leading food and beverage companies to change the way they advertise to children industry; commercial communication; parents; diet; lifestyle; advertisement; drink; soda; media; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
35,Nourishing,EU regulation on nutrition and health claims made on foods (1924/2006),"regulation on nutrition and health claims made in labelling, presentation or advertising of foods. The objective is to ensure that any claim made on a food's labelling, presentation or advertising  is clear, accurate and based on scientific evidence.",information; awareness; transparency; consumption; media; knowledge; nutrition;,,2006.0,2006.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,Food industry,EU,Supra-national,EC,https://ec.europa.eu/food/safety/labelling_nutrition/claims_en |  https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX%3A02006R1924-20121129 | ,,"eu regulation on nutrition and health claims made on foods (1924/2006) regulation on nutrition and health claims made in labelling, presentation or advertising of foods. the objective is to ensure that any claim made on a food's labelling, presentation or advertising  is clear, accurate and based on scientific evidence. information; awareness; transparency; consumption; media; knowledge; nutrition; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
461,Nourishing,EU regulation on nutrition and health claims made on foods (Law No. 1924/2006),"regulation on nutrition and health claims made in labelling, presentation or advertising of foods. The objective is to ensure that any claim made on a food's labelling, presentation or advertising  is clear, accurate and based on scientific evidence.",labelling; advertisement; traceability; claim; transparency,,2006.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,Food industry,Slovenia,National,EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32006R1924&amp;from=en,,"eu regulation on nutrition and health claims made on foods (law no. 1924/2006) regulation on nutrition and health claims made in labelling, presentation or advertising of foods. the objective is to ensure that any claim made on a food's labelling, presentation or advertising  is clear, accurate and based on scientific evidence. labelling; advertisement; traceability; claim; transparency balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
12,Nourishing,"Excise duty on Sweets, Ice-cream and Soft drinks","excise duty on Sweets, Ice-cream and Soft drinks",tax; tariff; retail; formula; infant; children; junk food; soda; sugar;,,2011.0,2017.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Fiscal policy,Food industry,Finland,National,Finnish Ministry of Finance,http://tulli.fi/sv/artikel/-/asset_publisher/laki-makeisten-jaatelon-ja-virvoitusjuomien-valmisteverosta?_101_INSTANCE_QFqaWaieEuk1_languageId=fi_FI |  http://www.finlex.fi/fi/laki/alkup/2010/20101127 | ,,"excise duty on sweets, ice-cream and soft drinks excise duty on sweets, ice-cream and soft drinks tax; tariff; retail; formula; infant; children; junk food; soda; sugar; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
264,SCAR,Food Guidelines for Grades 5-8 of Primary Schools,Food Guidelines for Grades 5-8 of Primary Schools,children; foodstuff; marketing; obesity; overweight; diet; education; canteen; food services; recommendation; health;,,,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Consumers,Croatia,National,Croatian Public Health Institute,https://www.hzjz.hr/sluzba-promicanje-zdravlja/prehrambene-smjernice-za-5-do-8-razrede-osnovnih-skola/,,food guidelines for grades 5-8 of primary schools food guidelines for grades 5-8 of primary schools children; foodstuff; marketing; obesity; overweight; diet; education; canteen; food services; recommendation; health; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
263,SCAR,Food guidelines for protection of children before commercial messages,Nutrition guidelines that will help audiovisual media service providers to develop their own code of conduct for protecting children against inappropriate commercial messages about foods during the time of children's programs.,foodstuff; marketing; obesity; overweight; diet; advertising; recommendation; health;,,2016.0,2016.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,Media,Slovenia,National,Slovenian Ministry of Health,https://extranet.who.int/nutrition/gina/en/node/43100 |  https://www.gov.si/assets/ministrstva/MZ/DOKUMENTI/Preventiva-in-skrb-za-zdravje/Varovanje-in-krepitev-zdravja/prehrana-in-telesna-dejavnost/prehranske_smernice-oglasevanje_072016.pdf | ,,food guidelines for protection of children before commercial messages nutrition guidelines that will help audiovisual media service providers to develop their own code of conduct for protecting children against inappropriate commercial messages about foods during the time of children's programs. foodstuff; marketing; obesity; overweight; diet; advertising; recommendation; health; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
271,Other,Free distribution of withdrawn fruit and vegetables,"Produce withdrawn from the market to help growers manage periodic crises is donated to various charitable and public service bodies in the EU. The EU funds 100% of free distribution for quantities up to 5% of the PO's total marketed volume, the aim being to stimulate greater consumption of fruit and vegetables in the EU",farmer; waste; food services; donation; food aid; charity; nutrition; diet; health; PG;,,,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Fiscal policy,Farmers,EU,Supra-national,EC - DG Agri,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13434-Fruit-vegetables-EU-financial-assistance-to-producers-for-market-withdrawals-for-free-distribution-_en,,"free distribution of withdrawn fruit and vegetables produce withdrawn from the market to help growers manage periodic crises is donated to various charitable and public service bodies in the eu. the eu funds 100% of free distribution for quantities up to 5% of the po's total marketed volume, the aim being to stimulate greater consumption of fruit and vegetables in the eu farmer; waste; food services; donation; food aid; charity; nutrition; diet; health; pg; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
469,Nourishing,Free School Meals,"Free in all-day primary schools (a minority of primary schools) for pupils who live in households that receive Gross Minimum Income, children of asylum-seekers, unaccompanied migrant children, and children under the guardianship of the state (Social Welfare Services), children in households in which a member has a severe disability, health problem",food aid; food assistance; social inclusion; school meal; income; support; children; migration,,2022.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Income support,School food services,Cyprus,National,Government of Cyprus,https://www.euronews.com/business/2023/09/04/school-meals-in-europe-which-countries-provide-free-food-for-students,,"free school meals free in all-day primary schools (a minority of primary schools) for pupils who live in households that receive gross minimum income, children of asylum-seekers, unaccompanied migrant children, and children under the guardianship of the state (social welfare services), children in households in which a member has a severe disability, health problem food aid; food assistance; social inclusion; school meal; income; support; children; migration balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
32,Nourishing,Front of Pack nutrition labelling scheme,The Front of Pack nutrition labelling scheme combines colour coding and percentage reference intakes,information; awareness; transparency; consumption; media; knowledge; nutrition; market;,,2013.0,2013.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Labelling measure,Food industry,UK,National,"UK Department of Health, Food Standards Agency",https://www.food.gov.uk/business-guidance/nutrition-labelling |  https://www.gov.uk/government/publications/front-of-pack-nutrition-labelling-guidance | ,,front of pack nutrition labelling scheme the front of pack nutrition labelling scheme combines colour coding and percentage reference intakes information; awareness; transparency; consumption; media; knowledge; nutrition; market; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
228,SCAR,Fruit and vegetables #DeAquíYDeAhora,It pursued a double objective: to promote the consumption of fruits and vegetables of national production among the public that is not a habitual consumer and to encourage the direct support of the Department to the producers affected by the stagnation of consumption.,campaign; seasonal; local; short food supply chain; sfsc; nutrition; diet; health; farmers; production; producers; growers;,,2017.0,2017.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Consumers,Spain,National,"Spanish Ministry of Agriculture and Fisheries, Food and Environment",http://www.alimentacion.es/es/campanas/frutas/fruta-y-verdura-de-aqui-y-de-ahora-ultima-edicion/default.aspx |  http://www.mapama.gob.es/es/alimentacion/temas/frutas-verduras-temporada/ | ,,fruit and vegetables #deaquíydeahora it pursued a double objective: to promote the consumption of fruits and vegetables of national production among the public that is not a habitual consumer and to encourage the direct support of the department to the producers affected by the stagnation of consumption. campaign; seasonal; local; short food supply chain; sfsc; nutrition; diet; health; farmers; production; producers; growers; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
474,Nourishing,Gattolin Act,"The Gattolin Act was signed into law on December 20, 2016. The purpose of the law is to restrict the broadcasting of advertising during programs intended primarily for children under twelve years of age to generic messages for goods or services related to children's health and development or campaigns of general interest and to eliminate it on public television channels. This restriction applies during the broadcast of programs and for a period of fifteen minutes before and after such broadcast. It also applies to all messages broadcast on the websites of these same national television services that offer programs primarily intended for children under twelve. An amendment voted in the National Assembly provides for the elimination of advertising in children's programs on France Télévisions as of January 1, 2018.",children; health; obesity; diet; junk food; advertisement; television; media; prevention; awaraness,,2016.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Society at large,Information measure,Media,France,National,FRANCE GOVERNMENT,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000033658678,,"gattolin act the gattolin act was signed into law on december 20, 2016. the purpose of the law is to restrict the broadcasting of advertising during programs intended primarily for children under twelve years of age to generic messages for goods or services related to children's health and development or campaigns of general interest and to eliminate it on public television channels. this restriction applies during the broadcast of programs and for a period of fifteen minutes before and after such broadcast. it also applies to all messages broadcast on the websites of these same national television services that offer programs primarily intended for children under twelve. an amendment voted in the national assembly provides for the elimination of advertising in children's programs on france télévisions as of january 1, 2018. children; health; obesity; diet; junk food; advertisement; television; media; prevention; awaraness balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
377,Other,GM-free labelling,"There exist ""GM-free labels"" pointing out that, in addition to what is laid down by the EU legislation on GMOs, specific measures have been taken on a voluntary basis to strictly exclude the presence or the use of GMOs in some food or feed products.",ban; control; risk; consumer; disease; health; nutrition;,,,,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Labelling measure,Food industry,EU,Supra-national,EC - DG Sante,https://ec.europa.eu/food/plant/gmo/traceability_labelling_en,,"gm-free labelling there exist ""gm-free labels"" pointing out that, in addition to what is laid down by the eu legislation on gmos, specific measures have been taken on a voluntary basis to strictly exclude the presence or the use of gmos in some food or feed products. ban; control; risk; consumer; disease; health; nutrition; food safety reduced economic and social burden of food-borne diseases",True
137,SCAR,GMO indication on food label,required producers to indicate on the label if a food product contains more than 0.9% genetically modified ingredients. In this case the words “genetically modified” or “produced with genetically modified” are placed before the name of the ingredient.,control; risk; consumer; disease; health; nutrition; labelling; transparency; traceability;,,2004.0,2004.0,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Labelling measure,Food industry,Netherlands,National,Dutch Ministry for Economic affairs and Climate policy,https://www.government.nl/topics/biotechnology/labelling-of-foods-and-products-containing-gmos,,gmo indication on food label required producers to indicate on the label if a food product contains more than 0.9% genetically modified ingredients. in this case the words “genetically modified” or “produced with genetically modified” are placed before the name of the ingredient. control; risk; consumer; disease; health; nutrition; labelling; transparency; traceability; food safety reduced economic and social burden of food-borne diseases,True
147,SCAR,GMO regulation,"ensure the traceability of products containing genetically modified organisms, to facilitate appropriate labeling, monitoring of environmental effects and, where necessary, the withdrawal of products from the market.",control; risk; consumer; disease; health; nutrition; transparency; traceability;,,2006.0,2006.0,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Regulation and self-regulation,Food industry,Romania,National,Romanian government,http://legislatie.just.ro/Public/DetaliiDocument/69535,,"gmo regulation ensure the traceability of products containing genetically modified organisms, to facilitate appropriate labeling, monitoring of environmental effects and, where necessary, the withdrawal of products from the market. control; risk; consumer; disease; health; nutrition; transparency; traceability; food safety reduced economic and social burden of food-borne diseases",True
44,Nourishing,Government Buying Standards (GBS) for food and catering services,All government departments and their related organisations must make sure that they meet the minimum mandatory Government Buying Standards (GBS) standards when buying goods and services.,nutrition; health; control; good practice; innovation; traceability; authenticity; origin; animal welfare; meat; dairy; fish; eggs; environment; salt; waste; SME; packaging;,,2014.0,2014.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Society at large,Procurement,Public Authorities,UK,National,"UK Department for Environment, Food & Rural Affairs",https://www.gov.uk/government/publications/sustainable-procurement-the-gbs-for-food-and-catering-services |  https://www.gov.uk/guidance/public-sector-procurement-policy#the-procurement-policy-framework | ,,government buying standards (gbs) for food and catering services all government departments and their related organisations must make sure that they meet the minimum mandatory government buying standards (gbs) standards when buying goods and services. nutrition; health; control; good practice; innovation; traceability; authenticity; origin; animal welfare; meat; dairy; fish; eggs; environment; salt; waste; sme; packaging; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
478,Nourishing,Greek Law n.76785/2017,"Since 2017, Greece has issued the n.76785/2017 Ministerial Decision that determines the nutritional standards for the foods that are offered in nurseries and kindergartens, and provides specific meal options for breakfast, lunch and snacks. The standards and the options are based on the National Dietary Guidelines for infants, children and adolescents. Public nurseries follow public procurement procedures for the foods that they provide.(See O- Offer healthy food and set standards in public institutions and other specific settings)",nutrition; nursery; kindergarten; children; meal; health,,2017.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,School food services,Greece,National,GREEK MINISTRY OF HEALTH,https://www.e-nomothesia.gr/ygeionomikos-kanonismos-diatakseis/ugeionomike-diataxe-u1agp-olk-76785-2017.html,,"greek law n.76785/2017 since 2017, greece has issued the n.76785/2017 ministerial decision that determines the nutritional standards for the foods that are offered in nurseries and kindergartens, and provides specific meal options for breakfast, lunch and snacks. the standards and the options are based on the national dietary guidelines for infants, children and adolescents. public nurseries follow public procurement procedures for the foods that they provide.(see o- offer healthy food and set standards in public institutions and other specific settings) nutrition; nursery; kindergarten; children; meal; health balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
78,Nourishing,Guidelines for the school meal,Guidelines for the school meal.,children; foodstuff; marketing; obesity; overweight; diet; education; canteen; food services; recommendation; health;,,2003.0,2003.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Food and agricultural standards (voluntary),School food services,Norway,National,Norwegian Directorate of Health,https://helsedirektoratet.no/Lists/Publikasjoner/Attachments/492/Retningslinjer-for-skolem%C3%A5ltidet-IS-0048.pdf,,guidelines for the school meal guidelines for the school meal. children; foodstuff; marketing; obesity; overweight; diet; education; canteen; food services; recommendation; health; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
81,Nourishing,Guidelines for the school meal,Guidelines for the school meal.,children; foodstuff; marketing; obesity; overweight; diet; education; canteen; food services; recommendation; health;,,2011.0,2011.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Food and agricultural standards (voluntary),School food services,Netherlands,National,"Dutch Ministry of Education, Science and Culture and Ministry of Health, Welfare and Sport",http://gezondeschoolkantine.voedingscentrum.nl/nl.aspx,,guidelines for the school meal guidelines for the school meal. children; foodstuff; marketing; obesity; overweight; diet; education; canteen; food services; recommendation; health; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
481,Nourishing,Health Counselling Programme,"In Slovenia, health counselling programs are offered free of charge to individuals who are at risk of developing cardiovascular disease. The programme is provided in so-called health education centres (ZVC), within health centres throughout Slovenia and includes counselling on healthy diet and healthy weight loss.",health; mental health; prevention; consuelling; cardiovascular disease; diet; obesity; overweight,,,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Education measure,Consumers,Slovenia,National,Health Education Centre (ZVC),,,"health counselling programme in slovenia, health counselling programs are offered free of charge to individuals who are at risk of developing cardiovascular disease. the programme is provided in so-called health education centres (zvc), within health centres throughout slovenia and includes counselling on healthy diet and healthy weight loss. health; mental health; prevention; consuelling; cardiovascular disease; diet; obesity; overweight balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
